,itemName,initial,timeOnMarket,priceIncrease,priceAvg,priceSD,maxPrice,maxIdx,minPrice,minIdx,swing,volAvg,volSD,slope,rr
0,Dirty Tank Top (White),0.018999999999999906,815,-0.6803891296386719,0.5225707381239124,0.3290792679992308,2.04,69,0.17802972054481508,813,1.861970279455185,635.2267156862745,1158.2141886059906,-0.0008338622207433598,0.35627550964360183
1,Skinny Jeans (Khaki),0.21399999999999864,857,-93.7182947769165,1.596026932249397,7.076445842920864,96.869,3,0.1879309710264206,853,96.68106902897358,487.2867132867133,579.4091913627057,-0.007624120909565652,0.071210152408501
2,Working Boots,2.099,1147,-13.251030128479004,0.950069256341935,1.5344854743132867,17.071,5,0.108,774,16.963,2154.1254355400697,3625.8846585952865,-0.0025664637571705664,0.3072181775153988
3,TUXEDO SET (MALE),22210.173,1010,7601.259000000001,11910.19403508772,5435.6794611974465,28706.84,55,124.346,104,28582.494,1.4502923976608186,0.892881154806658,-43.91374125806993,0.1590337582124248
4,Suede Aviator Cap,-6.883000000000001,703,-14.510418914794922,6.8244868385475135,5.15998916796664,19.25,40,0.976,355,18.274,415.98721590909093,794.4729142546612,-0.021650174656854565,0.7270904234952167
5,Raglan T-shirt (Red-White),-1.8439999999999994,815,-7.001969783782958,0.4530454958843835,0.6939425364607983,14.777,552,0.094,387,14.683,1050.8566176470588,1208.7085608527623,-0.0008684630414725524,0.08690686489836089
6,Polo Shirt (Pink),6.838000000000001,815,-31.357796752929687,0.6386424119584992,2.325458779192294,38.359,1,0.112,443,38.247,1152.4583333333333,1283.5112248984656,-0.002278488255160536,0.0532690211531008
7,Rugged (Beige) - Crossbow,0.11000000000000032,782,-3.995526016235351,0.4421429622444309,0.4478403635580369,4.282,1,0.11,355,4.172,1587.8173690932313,1868.5195213429179,-0.0008732054513633759,0.19423521871909577
8,VK Shirt,11.026,613,-4.0730576171875015,27.037106767485895,4.94078409860246,43.157,284,14.365,44,28.791999999999994,77.67915309446254,115.23534757564123,-0.0003811395620464042,0.00018695223103836733
9,Vintage Baseball Cap (White),-0.08599999999999997,815,-0.8799010963439942,0.4628474940344984,0.3274739366350655,2.003,69,0.13,440,1.8730000000000002,1088.236519607843,1898.6478881370035,-0.0007895676446740307,0.3225697403315558
